O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID),Avg_Automation_Desire,Count_Worker_Ratings,Reason_FreeTime,Reason_Repetitive,Reason_HumanError,Reason_Stress,Reason_Difficulty,Reason_Scale,Reason_Physical,Reason_Control,Reason_DomainKnowledge,Reason_Empathy,Reason_QualityOversight,Reason_Dynamic,Reason_Ethical,Avg_Automation_Capacity,Avg_Expert_Physical,Avg_Expert_Uncertainty,Avg_Expert_DomainExp,Avg_Expert_Interpersonal,Avg_Expert_AgencyScale,Economic_Impact_USD,Economic_Impact_Millions
11-3021.00,Computer and Information Systems Managers,978,Review project plans to plan and coordinate project activity.,Core,07/2016,3.0,3.0,4.08,99.97,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],3.2,10,0.4,0.3,0.4,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.5,3.5,4.0,4.0,31087590476.800003,31087.590476800004
11-3021.00,Computer and Information Systems Managers,969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Core,07/2016,5.0,5.0,4.04,92.97,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1'],3.5,10,0.5,0.2,0.1,0.2,0.2,0.4,0.0,0.1,0.0,0.1,0.0,0.1,0.0,2.0,1.5,2.0,2.5,2.5,3.5,34002052084.0,34002.052084
11-3021.00,Computer and Information Systems Managers,971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Core,07/2016,3.0,3.0,3.94,81.61,187990.0,645970.0,['Thinking Creatively'],['4.A.2.b.2'],3.6,10,0.6,0.2,0.5,0.2,0.2,0.3,0.1,0.1,0.0,0.0,0.0,0.1,0.0,3.0,1.5,2.5,3.5,1.5,2.5,52460308929.6,52460.308929599996
11-3021.00,Computer and Information Systems Managers,970,Stay abreast of advances in technology.,Core,07/2016,4.0,4.0,3.88,100.0,187990.0,645970.0,['Updating and Using Relevant Knowledge'],['4.A.2.b.3'],3.3,10,0.4,0.3,0.1,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,4.0,1.0,3.5,40073847098.99999,40073.84709899999
11-3021.00,Computer and Information Systems Managers,972,Review and approve all systems charts and programs prior to their implementation.,Core,07/2016,3.0,3.0,3.68,87.19,187990.0,645970.0,"['Getting Information', 'Judging the Qualities of Objects, Services, or People']","['4.A.1.a.1', '4.A.2.a.1']",2.7,10,0.3,0.2,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,2.5,2.0,2.0,2.5,1.5,3.0,32787693081.000004,32787.693081000005
11-3021.00,Computer and Information Systems Managers,980,Prepare and review operational reports or project progress reports.,Core,07/2016,5.0,5.0,3.63,95.71,187990.0,645970.0,['Documenting/Recording Information'],['4.A.3.b.6'],3.1818181818181817,11,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.36363636363636365,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,3.5,1.0,2.5,3.0,2.5,2.5,54094173770.0,54094.17377
11-3021.00,Computer and Information Systems Managers,979,Evaluate data processing proposals to assess project feasibility and requirements.,Core,07/2016,3.0,3.0,3.59,70.83,187990.0,645970.0,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1'],3.6,10,0.5,0.1,0.3,0.1,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,2.0,3.5,1.5,2.5,34973539286.4,34973.5392864
11-3021.00,Computer and Information Systems Managers,974,Control operational budget and expenditures.,Core,07/2016,3.0,3.0,3.53,84.33,187990.0,645970.0,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4'],3.7,10,0.6,0.1,0.6,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.5,2.5,1.5,3.0,35945026488.8,35945.0264888
11-3021.00,Computer and Information Systems Managers,966,"Manage backup, security and user help systems.",Supplemental,07/2016,5.0,5.0,4.19,65.58,187990.0,645970.0,['Thinking Creatively'],['4.A.2.b.2'],3.0,10,0.4,0.2,0.3,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.0,2.0,3.5,2.0,2.5,51003078126.0,51003.078126
15-1231.00,Computer Network Support Specialists,19004,Back up network data.,Core,07/2014,5.0,5.0,4.44,90.62,79610.0,146450.0,['Working with Computers'],['4.A.3.b.1'],2.8333333333333335,6,0.5,0.0,0.3333333333333333,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,4.5,1.5,1.5,1.5,1.5,1.5,5946031095.0,5946.031095
15-1231.00,Computer Network Support Specialists,18991,Configure security settings or access permissions for groups or individuals.,Core,07/2014,5.0,5.0,4.37,94.8,79610.0,146450.0,['Working with Computers'],['4.A.3.b.1'],2.3333333333333335,6,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,4.666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,5078091915.555556,5078.091915555557
15-1231.00,Computer Network Support Specialists,19003,Analyze and report computer network security breaches or attempted breaches.,Core,07/2014,3.0,3.0,4.26,82.28,79610.0,146450.0,['Analyzing Data or Information'],['4.A.2.a.4'],2.5,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,3.3333333333333335,1.3333333333333333,2.6666666666666665,3.3333333333333335,1.3333333333333333,3.0,3886294833.333334,3886.294833333334
15-1231.00,Computer Network Support Specialists,18993,Document network support activities.,Core,07/2014,5.0,5.0,4.09,92.33,79610.0,146450.0,['Documenting/Recording Information'],['4.A.3.b.6'],3.5,4,0.75,0.5,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1.0,1.5,2.0,1.5,1.5,7345097234.999999,7345.097234999999
15-1231.00,Computer Network Support Specialists,18992,Configure wide area network (WAN) or local area network (LAN) routers or related equipment.,Core,07/2014,3.0,3.0,4.04,81.82,79610.0,146450.0,['Working with Computers'],['4.A.3.b.1'],2.0,5,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.4,0.4,0.0,0.4,0.2,0.2,2.0,2.0,3.5,4.5,1.5,4.0,1865421520.0,1865.42152
