Task ID,Occupation,Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical,Other Reason for Automation Desire,Other Reason for Human Agency,Gender,Race,Income,Age,Education,Experience,AI Tedious Work Attitude,AI Job Importance Attitude,AI Daily Interest Attitude,AI Suffering Attitude,Zip Code,Political Affiliation,LLM Familiarity,LLM Use in Work,LLM Usage by Type - Information Access,LLM Usage by Type - Edit,LLM Usage by Type - Idea Generation,LLM Usage by Type - Communication,LLM Usage by Type - Analysis,LLM Usage by Type - Decision,LLM Usage by Type - Coding,LLM Usage by Type - System Design,LLM Usage by Type - Data Processing,Recruitment Source
19004,Computer Network Support Specialists,Back up network data.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,2,1,1,4,1,False,False,False,False,False,False,2,2,2,3,2,False,False,False,False,False,False,False,FALSE,FALSE,Male,White,86K-165K,39,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Monthly,Daily,Daily,Daily,Weekly,Weekly,Weekly,Prolific
18991,Computer Network Support Specialists,Configure security settings or access permissions for groups or individuals.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,3,2,3,3,2,True,False,False,False,False,False,2,2,2,3,3,False,True,False,False,False,False,False,,,Male,White,86K-165K,39,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Monthly,Daily,Daily,Daily,Weekly,Weekly,Weekly,Prolific
18993,Computer Network Support Specialists,Document network support activities.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,4,3,2,2,1,True,False,False,False,False,False,1,4,1,3,2,False,False,False,False,False,False,False,,FALSE,Male,White,86K-165K,39,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Monthly,Daily,Daily,Daily,Weekly,Weekly,Weekly,Prolific
19002,Computer Network Support Specialists,Troubleshoot network or connectivity problems for users or user groups.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,1,3,3,4,4,False,False,False,False,False,False,1,4,5,5,4,False,True,True,True,False,False,False,FALSE,,Male,White,86K-165K,39,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Monthly,Daily,Daily,Daily,Weekly,Weekly,Weekly,Prolific
19011,Computer Network Support Specialists,Research hardware or software products to meet technical networking or security needs.,f5ebd9c8-d0f3-4e08-8027-5680268d073d,2025/1/21,Average,3,2,1,1,1,False,True,False,False,False,False,1,2,2,2,2,False,False,False,False,False,False,False,,FALSE,Male,White,86K-165K,39,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Monthly,Daily,Daily,Daily,Weekly,Weekly,Weekly,Prolific
21049,Computer Programmers,Develop Web sites.,788a168b-6694-46f6-8493-e757b2f715b3,2025/3/23,Average,4,1,3,4,2,False,True,False,False,False,False,2,3,3,3,4,False,True,True,False,False,False,False,,,Male,Asian American and Pacific Islander,165K-209K,34,Master’s Degree,6-10 years,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,,No political affliation,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,WoM
16157,Information Technology Project Managers,Monitor or track project milestones and deliverables.,231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,4,2,4,1,2,True,True,False,False,False,False,1,3,2,3,3,False,False,False,True,True,True,True,,,Male,White,60-86K,25,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,2155,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Weekly,Never,Weekly,Never,Never,Monthly,Never,Weekly,Prolific
16159,Information Technology Project Managers,"Initiate, review, or approve modifications to project plans.",231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,2,1,3,1,3,False,False,False,False,False,False,1,4,3,4,2,False,False,False,False,False,False,False,FALSE,FALSE,Male,White,60-86K,25,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,2155,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Weekly,Never,Weekly,Never,Never,Monthly,Never,Weekly,Prolific
16151,Information Technology Project Managers,Perform risk assessments to develop response strategies.,231576cd-4cc2-4dee-91cb-6bb0105d06db,2025/1/21,Average,2,2,5,2,5,False,False,False,False,False,False,2,3,4,4,4,True,True,True,True,True,True,True,FALSE,,Male,White,60-86K,25,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat disagree,Strongly agree,Somewhat disagree,2155,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Weekly,Never,Weekly,Never,Never,Monthly,Never,Weekly,Prolific
14673,Computer Systems Engineers/Architects,"Identify system data, hardware, or software components required to meet user needs.",1ea438f6-b348-41ef-a3b7-0d3ea26da742,2025/1/21,Expert,2,4,4,3,3,False,False,False,False,False,False,1,4,4,5,2,False,False,False,False,False,False,False,FALSE,FALSE,Male,White,209K-529K,52,"Some College, No Degree",More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,Independent,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Weekly,Prolific
